"Matkan kohdekunta","Vuosi","Yön yli matkoja, tuhatta matkaa","Matkojen muutos, %","Yöpymisiä, tuhatta yöpymistä","Yöpymisten muutos, %","Matkan keskimääräinen kesto, yötä","Matkan mediaanikesto, yötä"
"Hanko","2014",.,.,.,.,.,.
"Hanko","2015",.,.,.,.,.,.
"Hanko","2016",110,..,270,..,2.5,2.0
"Hanko","2017",100,-5,210,-24,2.1,2.0
"Hanko","2018",120,17,420,102,3.5,2.0
"Hanko","2019",.,.,.,.,.,.
"Hanko","2020",110,..,350,..,3.2,2.0
"Hanko","2021",210,83,570,63,2.7,2.0
"Hanko","2022",130,-38,440,-23,3.4,2.0
"Hanko","2023",100,-24,360,-17,3.6,4.5
"Heinola","2012",180,.,440,.,2.4,2.0
"Heinola","2013",170,-2,400,-10,2.4,2.0
"Heinola","2014",180,5,370,-6,2.1,2.0
"Heinola","2015",130,-30,370,-1,2.8,2.0
"Heinola","2016",220,66,500,37,2.3,2.0
"Heinola","2017",170,-19,420,-16,2.5,2.0
"Heinola","2018",200,16,600,43,3.0,2.0
"Heinola","2019",200,-3,780,29,3.9,2.0
"Heinola","2020",250,28,860,10,3.4,2.0
"Heinola","2021",190,-23,490,-42,2.6,2.0
"Heinola","2022",200,3,700,43,3.5,3.0
"Heinola","2023",140,-28,360,-49,2.6,2.0
"Helsinki","2012",2350,..,5550,..,2.4,2.0
"Helsinki","2013",2090,-11,4490,-19,2.1,2.0
"Helsinki","2014",2080,0,4410,-2,2.1,2.0
"Helsinki","2015",2370,14,5100,16,2.2,2.0
"Helsinki","2016",2230,-6,4670,-8,2.1,2.0
"Helsinki","2017",2540,14,5390,15,2.1,2.0
"Helsinki","2018",2210,-13,4960,-8,2.2,2.0
"Helsinki","2019",2400,9,5100,3,2.1,2.0
"Helsinki","2020",1140,-52,2900,-43,2.5,2.0
